,t,hexbug,x,y
0,0,0,926.4781266122675,487.8863512282035
1,1,0,970.3862778730702,526.7368782161235
2,2,0,1014.8418126886506,653.8874833297178
3,3,0,958.2845539077182,788.9411543593799
4,4,0,829.6026202365227,894.2263728176304
5,5,0,702.0905223259745,959.7371754138758
6,6,0,586.0350721251776,1037.6847949199062
7,7,0,465.5411780875389,1129.8739135223398
8,8,0,338.31222122436054,1220.2904310900808
9,9,0,205.27077394611288,1197.0404694298047
10,10,0,101.93761101155164,1158.9363655976854
11,11,0,54.791855422658045,1080.1448288600823
12,12,0,176.20832187076758,938.0617298250606
13,13,0,268.56233624353183,834.7285668904993
14,14,0,366.0830087630239,739.7912234443712
15,15,0,478.45782345435936,660.9996867067683
16,16,0,589.5409736090128,587.3748081158933
17,17,0,693.1883361921098,501.20548885077187
18,18,0,812.9989384550017,401.3751148336829
19,19,0,908.582114169471,286.41697106898346
20,20,0,978.9778314186409,213.4379247464495
21,21,0,942.8112243915444,170.16716276760195
22,22,0,895.0196365343102,132.7088912038235
23,23,0,803.957286698228,112.04225861691124
24,24,0,709.6657755204408,146.27136883898467
25,25,0,616.0200966109945,189.54213081783223
26,26,0,503.64528191965917,162.41717554750988
27,27,0,423.56208064537395,115.91725222695734
28,28,0,351.8746988595221,283.8336419956195
29,29,0,277.3914236706689,311.5437392795884
30,30,0,148.43753433210438,336.79188799958223
31,31,0,36.66689536878209,348.0171526586621
32,32,0,38.64604871413303,487.27080652303727
33,33,0,43.96157804459688,574.1523156089195
34,34,0,47.608919382504155,676.277873070326
35,35,0,43.16687459252,798.5619598634034
36,36,0,131.00006308689717,839.249392768887
37,37,0,251.8600343053173,880.5289879931389
38,38,0,361.56218288463754,953.5617042652461
39,39,0,488.1453074794752,1049.1448799797158
40,40,0,581.1451541205804,1163.4571914760743
41,41,0,664.0096054888506,1248.910463121784
42,42,0,707.728278715418,1349.456884758285
43,43,0,768.4365119394729,1445.0400604727547
44,44,0,846.3766723842195,1518.8137221269299
45,45,0,897.4394511149228,1613.6445969125216
46,46,0,747.8984562607204,1675.649399656947
47,47,0,605.6867803175389,1645.8938959268087
48,48,0,486.2078106744524,1596.1648112645512
49,49,0,406.12460940016734,1574.2065141409566
50,50,0,357.6871892745917,1616.8314438514633
51,51,0,258.22901995007635,1616.1856115831222
52,52,0,141.33337938035376,1640.7272377800805
53,53,0,163.93750877228905,1592.9356499228459
54,54,0,62.541842642750765,1565.8106946525236
55,55,0,27.021067883995215,1532.873248967132
56,56,0,78.6876493512759,1579.3731722876846
57,57,0,124.20308747855904,1599.0552315608923
58,58,0,114.20842411003142,1616.1856115831222
59,59,0,185.89580589588334,1637.4980764383754
60,60,0,342.83304710274854,1651.0605540735367
61,61,0,442.291216427264,1660.102205830311
62,62,0,554.6660311185994,1631.6855860233065
63,63,0,650.2492068330687,1629.7480892182834
64,64,0,681.8949879817781,1581.3106690927077
65,65,0,685.893653516295,1504.2243567753003
66,66,0,630.2284065144975,1386.915156322064
67,67,0,623.7700838310873,1263.5611930689313
68,68,0,710.3116077887826,1161.5196946710516
69,69,0,837.5405646519612,1122.1239263022503
70,70,0,949.9153793432969,1118.8947649605452
71,71,0,1002.2277930789186,1209.9571147966274
72,72,0,906.6446173644491,1321.6860972196216
73,73,0,828.4989128951872,1406.290124372294
74,74,0,721.2907563505798,1471.519183474736
75,75,0,582.4368186572631,1431.477582837594
76,76,0,519.7910886281853,1324.2694262929865
77,77,0,480.39532025938377,1218.3529342850607
78,78,0,493.311965626204,1100.1656291786562
79,79,0,538.5202244100747,981.3324918039109
80,80,0,591.062778730703,862.2922813036022
81,81,0,674.9516295025728,745.5773584905662
82,82,0,756.8115311093352,648.0830413399513
83,83,0,831.7280742368919,525.3749103551598
84,84,0,940.8737275865217,434.31256051907775
85,85,0,1003.2123499142365,377.19588336192123
86,86,0,936.3529017081346,253.4795253835959
87,87,0,935.0612371714527,153.37552379073992
88,88,0,785.8739831846801,143.0422074972838
89,89,0,698.0407946903033,89.43812922498024
90,90,0,571.457670095466,245.08370589516284
91,91,0,470.7005145797598,311.5437392795884
92,92,0,351.8746988595239,334.2085589262215
93,93,0,228.52073560639178,343.89604295133654
94,94,0,83.85430749800636,352.2918624397695
95,95,0,62.19828473413361,457.4373927958835
96,96,0,46.396035934228166,572.5206659440526
97,97,0,40.58354551915886,667.4580093901802
98,98,0,146.08713550600328,756.5193825042883
99,99,0,236.2707228264835,856.686864014095
100,100,0,340.8955502977264,977.457498193863
